kind,girder,stat,value,node,chainage
BMD,G1,max,-2.9389823907877144e-12,5,0.0
BMD,G1,min,-28.78126967259958,30,11.1111
BMD,G2,max,-3.6566305539054156e-12,4,0.0
BMD,G2,min,-28.002903990914742,29,11.1111
BMD,G3,max,1.1901590823981678e-13,3,0.0
BMD,G3,min,-22.989483648428113,28,11.1111
BMD,G4,max,2.1391777238477516e-12,2,0.0
BMD,G4,min,-16.552900545245684,27,11.1111
BMD,G5,max,4.18243217836789e-12,1,0.0
BMD,G5,min,-14.784419920525185,26,11.1111
SFD,G1,max,3.329029056148396,20,5.5556
SFD,G1,min,-2.8858742633503205,5,0.0
SFD,G2,max,3.3355629397918287,14,2.7778
SFD,G2,min,-3.3355629397918287,4,0.0
SFD,G3,max,2.6392698807535746,23,8.3333
SFD,G3,min,-2.2774893123172473,3,0.0
SFD,G4,max,2.187702147867079,17,5.5556
SFD,G4,min,-1.6399802559195438,47,22.2222
SFD,G5,max,1.8841851710901623,11,2.7778
SFD,G5,min,-1.8841851710901623,1,0.0
